Aisles,Product,amountBought
"cat food care","Grain Free Chicken Formula Cat Food",13826
"cat food care","Grain Free Turkey & Salmon Formula Cat Food",12656
"cat food care","Instant Action Cat Litter",9907
"cat food care","Fancy Feast Wet Classic Chicken Feast Cat Food",7965
"cat food care","Double Duty Advanced Odor Control Clumping Cat Litter",7927
"cat food care","24/7 Performance Cat Litter",7497
"cat food care","Grain Free Turkey Formula Cat Food",6816
"cat food care","Indoor Cat Food",6815
"cat food care","Poultry & Beef Feast Variety Grilled Wet Cat Food",5845
"cat food care","Classic Tender Beef Feast Cat Food",5827
"cat food care","Classic Tender Liver & Chicken Feast Cat Food",5456
"cat food care","24/7 Performance Light Weight Cat Litter",5334
"cat food care","Grilled Chicken Feast in Gravy Cat Food",5177
"cat food care","Super Scoop Instant Clumping Unscented Cat Litter",5053
"cat food care","Grilled Tuna Feast in Gravy Cat Food",5001
"cat food care","Classic Ocean Whitefish & Tuna Feast Cat Food",4783
"cat food care","Fancy Feast Wet Classic Turkey & Giblets Feast Cat Food",4728
"cat food care","Fancy Feast Seafood Feast Variety Classic Wet Cat Food",4510
"cat food care","Savory Salmon",4474
"cat food care","Grain Free Turkey Canned Cat Food",4389
"cat food care","Flaked Tuna Feast Cat Food",4328
"cat food care","Gravy Lovers Chicken Feast Can Cat Food",4253
"cat food care","With Glade Tough Odor Solutions Cat Litter",4162
"cat food care","Cat Treats Temptations Seafood Medley",4031
"cat food care","Food for Cats, Chicken & Herring Formula",3877
"cat food care","Purina Mixed Grill Classic Pate Cat Food",3828
"cat food care","Chunky Chicken Feast Cat Food",3691
"cat food care","Temptations Tasty Chicken Flavor Cat Treats",3526
"cat food care","24/7 Performance Clumping Litter",3426
"cat food care","Original Choice Dry Cat Food",3424
"cat food care","Tender Beef & Liver Feast Classic Wet Cat Food",3407
"cat food care","Classic Seafood Feast Cat Food",3355
"cat food care","Adult Indoor Advantage Cat Food",3306
"cat food care","Classic Tender Beef & Chicken Feast Cat Food",3272
"cat food care","Grilled Salmon Feast in Gravy Cat Food",3239
"cat food care","Temptations Cat Treats - Creamy Dairy",3230
"cat food care","Grilled Turkey Feast in Gravy Cat Food",3219
"cat food care","Classic Cod Sole & Shrimp Feast Cat Food",3191
"cat food care","Liver & Chicken Dinner Classic Pate Cat Food",3151
"cat food care","Fancy Feast Trout Feast Flaked Wet Cat Food",3102
"cat food care","Classic Salmon & Shrimp Feast Cat Food",3102
"cat food care","Flaked Fish & Shrimp Feast Cat Food",2974
"cat food care","Grilled Ocean Whitefish & Tuna Feast in Gravy Cat Food",2967
"cat food care","Salmon Feast in Seared Salmon Flavor Gravy Cat Food",2908
"cat food care","Spot's Stew Dry Cat Food Formula Chicken Recipe",2902
"cat food care","Grilled Seafood Feast Variety Cat Food",2853
"cat food care","Classic Chopped Grill Feast Cat Food",2793
"cat food care","Turkey Feast Cat Food",2762
"cat food care","Spot's Stew Wild Salmon Recipe Cat Food",2724
"cat food care","Chicken & Tuna Feast Flaked Wet Cat Food",2718
"cat food care","Spots Stew Wild Salmon Canned Cat Food",2665
"cat food care","Purina Classic Pate Turkey & Giblets Dinner Cat Food",2616
"cat food care","Salmon Dinner Classic Pate Cat Food",2587
"cat food care","Beef Feast in Roasted Beef Flavor Gravy Cat Food",2580
"cat food care","Proactive Health Indoor Weight & Hairball Care with Chicken Cat Food",2570
"cat food care","Classic Pate Variety Pack Wet Cat Food",2475
"cat food care","Scented Multi-Cat Scoopable Cat Litter",2468
"cat food care","Classic Poultry & Beef Feast Variety Cat Food",2385
"cat food care","Classic Pate Mariner's Catch Cat Food",2384
"cat food care","Ocean Whitefish & Tuna Feast in Sauteed Seafood Flavor Gravy Cat Food",2371
"cat food care","Complete Cat Food",2234
"cat food care","Indoor Delights Cat Food",2233
"cat food care","Natural Beef & Chicken Formula Food for Cats",2197
"cat food care","Turkey Flavor Cat Treats",2191
"cat food care","Multi Cat Scented Scoopable Cat Litter",2181
"cat food care","Cat Litter Deodorizer with Activated Baking Soda",2112
"cat food care","Spot's Stew Chicken Cat Food",2036
"cat food care","Grilled Cheddar & Chicken",2003
"cat food care","Classic Pate Ocean Whitefish & Tuna Dinner Cat Food",1964
"cat food care","Original Maximum Odor Control Cat Litter",1944
"cat food care","Heavy Duty Jumbo Litter Box Liners",1936
"cat food care","Savory Salmon Flavor Cat Treats",1903
"cat food care","Super Scoop Clumping with Odor Eliminating Baking Soda Cat Litter",1898
"cat food care","Multi-Cat Extra Strength Clumping Cat Litter",1870
"cat food care","Prime Filets Chicken & Tuna Dinner in Gravy Cat Food",1855
"cat food care","Grilled Salmon & Shrimp Feast in Gravy Cat Food",1847
"cat food care","Salmon & Sole Feast Cat Food",1840
"cat food care","Instant Action Clumping Litter",1838
"cat food care","Meaty Bits Variety Pack Wet Cat Food",1827
"cat food care","Tasty Chicken Flavor Treats for Cat",1810
"cat food care","Hearty Beef Cat Treats",1801
"cat food care","Chicken Hearts & Liver Feast in Grilled Chicken Flavor Gravy Cat Food",1798
"cat food care","White Meat Chicken Florentine Cat Food",1757
"cat food care","Florentine Collection Cat Food",1727
"cat food care","Chunky Turkey Feast Cat Food",1668
"cat food care","Ocean Whitefish & Tuna in Sauce Prime Filets Wet Cat Food",1638
"cat food care","Purina Prime Filets With Chicken In Gravy Cat Food",1636
"cat food care","Delights With Cheddar Grilled Tuna & Cheddar Cheese Feast In Gravy",1614
"cat food care","Unscented Cat Litter",1601
"cat food care","Grilled Liver & Chicken Feast in Gravy Cat Food",1595
"cat food care","Tuna & Egg Flaked Cat Food",1591
"cat food care","Cat Treats Hair Ball Control Chicken",1584
"cat food care","Classic Pate Poultry Platter Cat Food",1558
"cat food care","Chicken & Salmon Cat Food",1554
"cat food care","Multiple Cat Clumping Formula Cat Litter",1551
"cat food care","Core Turkey & Chicken Liver Canned Cat Food",1529
"cat food care","Surfin' & Turfin' Favorites Cat Food",1525
"cat food care","Chicken Lickin' Chicken Pate with Vegetables Cat Food",1518
"cat food care","Grilled Chicken & Beef Feast in Gravy Cat Food",1509
"cat food care","Crystals Cat Litter",1431
"cat food care","Grilled Beef Feast in Gravy Cat Food",1426
"cat food care","Cat Treats - Savory Salmon",1402
"cat food care","Grilled Turkey & Cheddar Cheese Feast in Gravy Cat Food",1389
"cat food care","Seafood Sensations Cat Food",1367
"cat food care","Poultry & Beef Feast Variety  Cat Food",1359
"cat food care","Tuna Florentine Cat Food",1344
"cat food care","Grilled Seafood Feast in Gravy Cat Food",1334
"cat food care","Extreme Clay Cat Litter",1330
"cat food care","Party Mix Crunch Beachside Cat Treats",1307
"cat food care","Savory Shreds with Beef in Gravy Cat Food",1307
"cat food care","Savory Shreds with Chicken in Gravy Cat Food",1295
"cat food care","Beyond Grain Free Wild Salmon Recipe Wet Cat Food",1281
"cat food care","Chicken Hearts & Liver Feast in Gravy Sliced Wet Cat Food",1254
"cat food care","Spot's Stew For Cats Wild Salmon Recipe",1240
"cat food care","Temptations Cat Treats Tempting Tuna",1238
"cat food care","Classic Broth with Tuna, Shrimp and Whitefish",1232
"cat food care","Seafood Variety Pack Cat Food",1222
"cat food care","Organix Grain Free Chicken Pat̩ Cat Food",1217
"cat food care","Multi-Cat Extra Strength Clumping Unscented Cat Litter",1185
"cat food care","Prime Filets Turkey Dinner In Gravy",1170
"cat food care","Tender Tongol Tuna Cat Food",1167
"cat food care","Flaked Skipjack Tuna Cat Food",1156
"cat food care","Organix Cat Treats",1149
"cat food care","Organix Chicken & Rice Dry Cat Food",1138
"cat food care","Spot's Stew Grain Free Wholesome Chicken Recipe Cat Food",1119
"cat food care","Salmon & Tuna Flavor Cat Food",1090
"cat food care","Wild Salmon Florentine Cat Food",1076
"cat food care","Chicken & Beef Feast in Grilled Chicken Flavor Gravy Cat Food",1072
"cat food care","Clump & Seal Multi-Cat Cat Litter",1072
"cat food care","Sliced Chicken Feast in Gravy Cat Food",1072
"cat food care","Grain Free Minced Chicken Dinner Canned Cat Food",1070
"cat food care","Super Scoop Clumping Fragrance Free Cat Litter",1068
"cat food care","White Meat Chicken Cat Food",1057
"cat food care","Savory Shreds with Ocean Whitefish & Tuna in Sauce Cat Food",1050
"cat food care","Extreme Scoopable Litter Scented",1044
"cat food care","Original Party Mix Catt Treats",1043
"cat food care","Chicken & Salmon Dinner in Gravy Savory Shreds Cat Food",1042
"cat food care","Clump & Seal Fresh Home Cat Litter",1040
"cat food care","Savory Shreds Turkey & Cheese Dinner in Gravy Cat Food",1032
"cat food care","Complete Health Deboned Chicken, Chicken Meal and Rice Cat Food",1012
"cat food care","Dry Cat Food Chicken & Turkey",1006
"cat food care","Savory Shreds with Salmon in Sauce Cat Food",1000
"cat food care","Sliced Salmon Canned Catfood Entree",983
"cat food care","Grain Free Turkey, Sweet Potato & Spinach Recipe in Gravy Cat Food",977
"cat food care","Purina Beyond Natural Cat Food Grain Free Ocean Whitefish & Egg Recipe",967
"cat food care","Multi Cat",966
"cat food care","Original Plus Vitamins & Minerals Cat Food",965
"cat food care","Chicken Liver Pat̩ Canned Cat Food",954
"cat food care","Original Cat Litter",951
"cat food care","Tuna & Crab Meat Entree in Gravy Cat Food",933
"cat food care","Complete Health, Salmon, Salmon Meal and Deboned Turkey Cat Food",933
"cat food care","White Meat Chicken And Shredded Beef Cat Food",930
"cat food care","Cat Litter, Natural, Unscented",915
"cat food care","Non Clumping 24/7 Performance Cat Litter",913
"cat food care","Cat Litter Deodorizer",910
"cat food care","Cat Treats - Mix Ups Catnip Fever",909
"cat food care","With Savory Chicken & Turkey Cat Food",909
"cat food care","Scoopable Scented Clumping Cat Litter",900
