Aisles,Product,amountBought
"facial care","Makeup Remover Cleansing Towelettes Refill",7218
"facial care","Makeup Remover Cleansing Towelettes",6613
"facial care","Sensitive Skin Experts Cleansing Facial Wipes",6340
"facial care","Cleansing Towelettes Night Calming Makeup Remover",4042
"facial care","Epsom Salt Soaking Solution Soothe & Sleep",2579
"facial care","Gentle Skin Cleanser for All Skin Types",2515
"facial care","Oil-Free Pink Grapefruit Cleansing Wipes for Acne Prone Skin",2248
"facial care","Fresh Skin Apricot Face Scrub",2113
"facial care","Blemish Control Apricot Scrub",2112
"facial care","Oil-Free Eye Makeup Remover Cleansing",2061
"facial care","Gentle Skin Cleanser",1676
"facial care","Original Fresh Wet Cleansing Towelettes",1363
"facial care","Daily Facial Cleanser",1191
"facial care","Normal to Oily Skin Daily Facial Cleanser",1145
"facial care","Deep Clean Cream Cleanser",1125
"facial care","US Weekly",989
"facial care","Deep Cleansing Pore Strips",957
"facial care","Fresh Foaming Cleanser",929
"facial care","Deep Clean Facial Cleanser",914
"facial care","Dry Skin Cream",839
"facial care","Deep Clean Invigorating Foaming Scrub",829
"facial care","Classic Clean Original Deep Cleansing Cream",824
"facial care","Makeup Removing Wipes",805
"facial care","Positively Radiant Skin Brightening Daily Scrub",786
"facial care","Cleansing Facial Wipes",766
"facial care","Oil-Free Acne Wash Pink Grapefruit Facial Cleanser",751
"facial care","Classic Original Lipbalm",730
"facial care","Continuous ControlÂ® Acne Cleanser Cleansers",704
"facial care","Deep Action Cream Cleanser",696
"facial care","Oil-Free Acne Wash",684
"facial care","Original Skin Protectant/Sunscreen SPF 15 Moisturizer",663
"facial care","Exfoliating Facial Wipes",659
"facial care","Deep Clean Oil Free Makeup Remover Cleansing Wipes",653
"facial care","Persa-GelÂ® 10 Maximum Strength Acne Treatments",635
"facial care","Morning Burst Facial Cleanser with Bursting Beads, Oil-Free",626
"facial care","Foaming Scrub Pink Grapefruit Oil-Free Acne Wash",616
"facial care","Ultra Rapid Action Daily Face Wash Acne Medication",599
"facial care","Blueberries Age Refresh Cleansing Facial Towelettes - 30 CT",568
"facial care","Blackhead Eliminating Daily Scrub",565
"facial care","Daily Pore Cleanser",547
"facial care","Classic Cherry Lipbalm",543
"facial care","Clear Complexion Foaming Cleanser",540
"facial care","Sensitive Wet Cleansing Cloths",535
"facial care","Eye Make-Up Remover Pads",529
"facial care","Maximum Strength Ultra Rapid Action Pads Acne Medication",517
"facial care","Refreshing Remover Cleansing Towelettes",512
"facial care","Fragrance Free Liquid Facial Cleansing Formula",493
"facial care","Maximum Strength Rapid ClearÂ® Treatment Pads",485
"facial care","Gentle Skin Cleansing Cloths",475
"facial care","Oil-Free Moisture - Sensitive Skin",473
"facial care","Advantage Acne Spot Treatment, oil-Free",470
"facial care","Deep Cleansing Pore Nose Strips",458
"facial care","Daily Facial with Sunscreen Moisturizer",447
"facial care","Beeswax Lip Balm With Vitamin E & Peppermint",445
"facial care","Premium Cotton Rounds",436
"facial care","Gentle Cleansing Bar",426
"facial care","Invigorating Face Wash Men",423
"facial care","Premium Cotton Squares",419
"facial care","Evening Soothe Wet Cleansing Towelettes",415
"facial care","Ultra Gentle Daily Cleanser",413
"facial care","Healthy Skin Face Lotion with sunscreen SPF 15",409
"facial care","Fresh Effects {Everything Off!} Deluxe Make-Up Removal Wet Cloths",398
"facial care","Men Original Moisturizing Face Wash",397
"facial care","Moisturizing Facial Wash",388
"facial care","Moisturizing Non-Drying Facial Wash",387
"facial care","Classic Original Lip Balm SPF 12",382
"facial care","Medicated Lip Ointment",382
"facial care","Pink Lemon and Mandarin Orange Scrub",379
"facial care","Oil-Free Acne Wash Daily Scrub Micro Clear",361
"facial care","Hair Remover Lotion with Baby Oil",354
"facial care","Clear Pore Cleanser/Mask",353
"facial care","Cleansing Towelettes Hydrating Makeup Remover",344
"facial care","Oil Free Acne Stress Control Power Clear Scrub",341
"facial care","Oil Free Deep Clean Gentle Scrub",338
"facial care","Gentle Cleansing Wash",326
"facial care","Medicated Lip Balm SPF 15",326
"facial care","Regenerist Micro-Exfoliating Wet Facial Cleansing Wipes",325
"facial care","Fruit Smoothies SPF 15 Lip Protectant",324
"facial care","Mineral-Based SPF 50 Baby Sunscreen Lotion Tube",323
"facial care","Night Time Make-Up Remover Cleansing Cloths",322
"facial care","Alcohol Free Toner",320
"facial care","Naturals Purifying Facial Cleanser",320
"facial care","Natural Glow Moisturizing Lotion",307
"facial care","Facial Moisturizing Lotion PM",306
"facial care","Essentials Foaming Facial Cleanser",305
"facial care","Oil-Free Acne Wash Cream Cleanser",298
"facial care","Essentials Deep Cleaning Astringent, Oil-Free",297
"facial care","OXYÂ® MAXIMUM Cleansing",297
"facial care","Blemish Clearing Facial Towelettes",295
"facial care","Beeswax Lip Balm",293
"facial care","Clear Pore Oil Eliminating Astringent",293
"facial care","SPF 15 Oil Free Moisture",281
"facial care","Naturals Purifying Makeup Remover Cleaning Towelettes",278
"facial care","Lip Balm - Pomegranate",268
"facial care","Naturals Purifying Pore Scrub",267
"facial care","Clear Complexion Daily Moisturizer",267
"facial care","Complete All Day Moisturizer with Broad Spectrum SPF 15 - Sensitive",263
"facial care","Fresh Effects S'Wipe Out Refreshing Make-Up Removal Cloths",257
"facial care","Deep Charcoal Cleanser",251
"facial care","On-the-Spot Acne Treatment",251
"facial care","Naturals Fresh Cleansing + Makeup Remover",250
"facial care","Sunscreen Lotion Face Oil-Free SPF 70+",245
"facial care","Facial Cloths",241
"facial care","Sensitive Facial Cleanser",240
"facial care","Cold Cream Cleanser",238
"facial care","Complete Sensitive All Day Moisturizer With SPF 15",231
"facial care","Regenerist Regenerating Cream Facial Cleanser",225
"facial care","Daily Moisturizing Lotion Tube Body Moisture",223
"facial care","Positively Radiant Daily Moisturizer Broad Spectrum SPF 15",223
"facial care","Medicated Lib Balm",221
"facial care","Ultra-Calming Foaming Cleanser, Fragrance Free",216
"facial care","AM Facial Moisturizing Lotion",213
